client_code,name,product,benefit,confidence,cluster,push_notification
1.0,Айгерим,Кредитная карта,96455.064,0.91,2.0,"Айгерим, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 175,127 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 96,455 ₸/мес. Оформите карту онлайн за 3 минуты!"
2.0,Данияр,Премиальная карта,109560.3738,0.81,2.0,"Данияр, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 1,577,073 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 109,560 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
3.0,Сабина,Кредитная карта,84626.187,0.95,1.0,"Сабина, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 109,151 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 84,626 ₸/мес. Оформите карту онлайн за 3 минуты!"
4.0,Тимур,Кредитная карта,87539.785,1.0,2.0,"Тимур, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 169,399 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 87,540 ₸/мес. Оформите карту онлайн за 3 минуты!"
5.0,Камилла,Кредитная карта,115657.12100000001,0.9,2.0,"Камилла, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 180,244 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 115,657 ₸/мес. Оформите карту онлайн за 3 минуты!"
6.0,Аян,Кредитная карта,81243.379,0.92,2.0,"Аян, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 178,017 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 81,243 ₸/мес. Оформите карту онлайн за 3 минуты!"
7.0,Руслан,Премиальная карта,133397.0085,0.94,0.0,"Руслан, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 4,040,997 ₸, траты на люкс 422,682 ₸/мес (15.6% от всех трат). Премиальная карта с 3% кешбэком вернет вам 133,397 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
8.0,Мадина,Премиальная карта,172825.82280000002,0.87,0.0,"Мадина, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 1,058,403 ₸, траты на люкс 753,654 ₸/мес (23.4% от всех трат). Премиальная карта с 3% кешбэком вернет вам 172,826 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
9.0,Арман,Премиальная карта,142274.9724,0.95,0.0,"Арман, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 3,084,180 ₸, траты на люкс 540,939 ₸/мес (19.2% от всех трат). Премиальная карта с 3% кешбэком вернет вам 142,275 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
10.0,Карина,Премиальная карта,148538.98619999998,0.94,0.0,"Карина, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 1,277,325 ₸, траты на люкс 529,594 ₸/мес (18.1% от всех трат). Премиальная карта с 3% кешбэком вернет вам 148,539 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
11.0,Бауржан,Премиальная карта,153464.14049999998,0.99,0.0,"Бауржан, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 3,230,572 ₸, траты на люкс 649,008 ₸/мес (21.8% от всех трат). Премиальная карта с 3% кешбэком вернет вам 153,464 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
12.0,Жанар,Кредитная карта,98120.623,0.82,0.0,"Жанар, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 176,396 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 98,121 ₸/мес. Оформите карту онлайн за 3 минуты!"
13.0,Алина,Кредитная карта,108221.748,0.97,1.0,"Алина, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 118,012 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 108,222 ₸/мес. Оформите карту онлайн за 3 минуты!"
14.0,Диас,Кредитная карта,135008.919,0.9,1.0,"Диас, ИИ проанализировал ваши траты и обнаружил топ-категории: Едим дома, Смотрим дома, Играем дома. Вы тратите 140,515 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 135,009 ₸/мес. Оформите карту онлайн за 3 минуты!"
15.0,Нурия,Кредитная карта,115290.92200000002,0.98,1.0,"Нурия, ИИ проанализировал ваши траты и обнаружил топ-категории: Продукты питания, Транспорт, Услуги. Вы тратите 145,669 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 115,291 ₸/мес. Оформите карту онлайн за 3 минуты!"
16.0,Ерасыл,Кредитная карта,104411.817,0.99,1.0,"Ерасыл, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 113,114 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 104,412 ₸/мес. Оформите карту онлайн за 3 минуты!"
17.0,Жанель,Кредитная карта,117721.61300000001,0.99,1.0,"Жанель, ИИ проанализировал ваши траты и обнаружил топ-категории: Продукты питания, Транспорт, Услуги. Вы тратите 140,767 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 117,722 ₸/мес. Оформите карту онлайн за 3 минуты!"
18.0,Санжар,Кредитная карта,119824.781,0.93,1.0,"Санжар, ИИ проанализировал ваши траты и обнаружил топ-категории: Продукты питания, Транспорт, Услуги. Вы тратите 156,371 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 119,825 ₸/мес. Оформите карту онлайн за 3 минуты!"
19.0,Азамат,Кредитная карта,100364.026,0.98,1.0,"Азамат, ИИ проанализировал ваши траты и обнаружил топ-категории: Продукты питания, Транспорт, Услуги. Вы тратите 151,893 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 100,364 ₸/мес. Оформите карту онлайн за 3 минуты!"
20.0,Анель,Кредитная карта,89128.296,0.87,1.0,"Анель, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 147,539 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 89,128 ₸/мес. Оформите карту онлайн за 3 минуты!"
21.0,Павел,Премиальная карта,98649.25799999999,0.88,1.0,"Павел, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 1,798,169 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 98,649 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
22.0,Аружан,Кредитная карта,89100.03700000001,0.99,1.0,"Аружан, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 153,750 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 89,100 ₸/мес. Оформите карту онлайн за 3 минуты!"
23.0,Темирлан,Кредитная карта,86672.13100000001,0.96,1.0,"Темирлан, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 154,563 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 86,672 ₸/мес. Оформите карту онлайн за 3 минуты!"
24.0,Гульмира,Кредитная карта,91330.765,0.93,1.0,"Гульмира, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 167,182 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 91,331 ₸/мес. Оформите карту онлайн за 3 минуты!"
25.0,Адиль,Кредитная карта,103600.55300000001,0.96,1.0,"Адиль, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 149,340 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 103,601 ₸/мес. Оформите карту онлайн за 3 минуты!"
26.0,Маржан,Кредитная карта,97806.20700000001,0.97,2.0,"Маржан, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 180,890 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 97,806 ₸/мес. Оформите карту онлайн за 3 минуты!"
27.0,Нурсултан,Кредитная карта,79647.175,0.96,2.0,"Нурсултан, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 169,962 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 79,647 ₸/мес. Оформите карту онлайн за 3 минуты!"
28.0,Алтынай,Кредитная карта,89938.01800000001,0.99,2.0,"Алтынай, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 166,766 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 89,938 ₸/мес. Оформите карту онлайн за 3 минуты!"
29.0,Сая,Кредитная карта,87528.232,0.9,2.0,"Сая, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 178,606 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 87,528 ₸/мес. Оформите карту онлайн за 3 минуты!"
30.0,Ербол,Кредитная карта,87190.293,0.93,2.0,"Ербол, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 186,033 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 87,190 ₸/мес. Оформите карту онлайн за 3 минуты!"
31.0,Дамир,Кредитная карта,103022.71500000003,0.74,1.0,"Дамир, наш алгоритм выявил ваш паттерн: 20.2% трат онлайн (474,318 ₸/мес). Кредитная карта с 10% кешбэком на онлайн-покупки сэкономит вам 103,023 ₸/мес. Начните экономить прямо сейчас!"
32.0,Алия,Премиальная карта,162414.2415,0.97,0.0,"Алия, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 2,317,160 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 162,414 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
33.0,Мерей,Кредитная карта,101081.88700000002,0.84,1.0,"Мерей, ИИ проанализировал ваши траты и обнаружил топ-категории: Продукты питания, Транспорт, Услуги. Вы тратите 165,253 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 101,082 ₸/мес. Оформите карту онлайн за 3 минуты!"
34.0,Инкар,Кредитная карта,0.0,0.72,4.0,"Инкар, наш алгоритм выявил ваш паттерн: nan% трат онлайн (nan ₸/мес). Кредитная карта с 10% кешбэком на онлайн-покупки сэкономит вам 0 ₸/мес. Начните экономить прямо сейчас!"
35.0,Самат,Премиальная карта,155909.55209999997,0.95,0.0,"Самат, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 1,448,797 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 155,910 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
36.0,Назым,Кредитная карта,105854.668,0.98,1.0,"Назым, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 146,855 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 105,855 ₸/мес. Оформите карту онлайн за 3 минуты!"
37.0,Гульнар,Кредитная карта,100043.274,0.69,1.0,"Гульнар, наш алгоритм выявил ваш паттерн: 23.2% трат онлайн (530,614 ₸/мес). Кредитная карта с 10% кешбэком на онлайн-покупки сэкономит вам 100,043 ₸/мес. Начните экономить прямо сейчас!"
38.0,Серик,Премиальная карта,153293.1351,0.95,0.0,"Серик, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 5,818,675 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 153,293 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
39.0,Ляззат,Премиальная карта,96536.9412,0.8,1.0,"Ляззат, ИИ выявил ваш статус: вы тратите 0 ₸ на рестораны и ювелирные изделия - это 0.0% от всех трат! Премиальная карта с повышенным кешбэком даст вам 96,537 ₸/мес. Оформите за 1 минуту!"
40.0,Асхат,Кредитная карта,89604.599,0.93,1.0,"Асхат, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 164,039 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 89,605 ₸/мес. Оформите карту онлайн за 3 минуты!"
41.0,Сандугаш,Премиальная карта,103282.51860000001,0.74,1.0,"Сандугаш, ИИ выявил ваш статус: вы тратите 0 ₸ на рестораны и ювелирные изделия - это 0.0% от всех трат! Премиальная карта с повышенным кешбэком даст вам 103,283 ₸/мес. Оформите за 1 минуту!"
42.0,Рустем,Премиальная карта,166476.168,1.0,0.0,"Рустем, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 2,948,028 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 166,476 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
43.0,Нуртас,Кредитная карта,98236.133,0.96,1.0,"Нуртас, ИИ проанализировал ваши траты и обнаружил топ-категории: Продукты питания, Транспорт, Услуги. Вы тратите 154,476 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 98,236 ₸/мес. Оформите карту онлайн за 3 минуты!"
44.0,Айнагуль,Кредитная карта,87926.40900000001,0.95,1.0,"Айнагуль, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 148,515 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 87,926 ₸/мес. Оформите карту онлайн за 3 минуты!"
45.0,Диана,Премиальная карта,318389.7796,0.84,3.0,"Диана, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 72,552 ₸, траты на люкс 2,041,756 ₸/мес (21.9% от всех трат). Премиальная карта с 3% кешбэком вернет вам 318,390 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
46.0,Арсен,Кредитная карта,103347.66300000002,0.92,1.0,"Арсен, ИИ проанализировал ваши траты и обнаружил топ-категории: Продукты питания, Транспорт, Услуги. Вы тратите 153,701 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 103,348 ₸/мес. Оформите карту онлайн за 3 минуты!"
47.0,Камшат,Кредитная карта,86777.471,0.82,1.0,"Камшат, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 166,418 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 86,777 ₸/мес. Оформите карту онлайн за 3 минуты!"
48.0,Ержан,Кредитная карта,102080.735,0.94,1.0,"Ержан, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 148,430 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 102,081 ₸/мес. Оформите карту онлайн за 3 минуты!"
49.0,Амина,Премиальная карта,117897.6405,0.54,2.0,"Амина, анализ вашего поведения показал: вы цените качество и тратите 0 ₸ на премиум-категории. Премиальная карта с 3% кешбэком + привилегии вернет 117,898 ₸/мес. Не упустите выгоду!"
50.0,Тимурлан,Премиальная карта,148325.0337,1.0,0.0,"Тимурлан, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 3,573,697 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 148,325 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
51.0,Жанат,Кредитная карта,118720.31100000002,0.58,1.0,"Жанат, анализ показал: ваши любимые категории - Такси, Отели, Путешествия с тратами 153,664 ₸/мес. Кредитная карта с максимальным кешбэком 10% вернет 118,720 ₸/мес. Оформите за 2 клика в приложении!"
52.0,Милана,Премиальная карта,142625.3457,0.98,0.0,"Милана, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 3,418,709 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 142,625 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
53.0,Расул,Премиальная карта,101894.04599999997,0.78,1.0,"Расул, ИИ выявил ваш статус: вы тратите 0 ₸ на рестораны и ювелирные изделия - это 0.0% от всех трат! Премиальная карта с повышенным кешбэком даст вам 101,894 ₸/мес. Оформите за 1 минуту!"
54.0,Виктория,Премиальная карта,185757.11940000003,0.97,2.0,"Виктория, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 4,083,294 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 185,757 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
55.0,Асель,Премиальная карта,132899.40660000002,0.8,0.0,"Асель, ИИ выявил ваш статус: вы тратите 0 ₸ на рестораны и ювелирные изделия - это 0.0% от всех трат! Премиальная карта с повышенным кешбэком даст вам 132,899 ₸/мес. Оформите за 1 минуту!"
56.0,Нуркен,Кредитная карта,98821.20000000001,0.91,2.0,"Нуркен, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 182,577 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 98,821 ₸/мес. Оформите карту онлайн за 3 минуты!"
57.0,Жания,Премиальная карта,154150.87170000002,0.98,0.0,"Жания, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 2,757,704 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 154,151 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
58.0,Султан,Кредитная карта,99766.86000000002,0.71,1.0,"Султан, наш алгоритм выявил ваш паттерн: 21.1% трат онлайн (514,239 ₸/мес). Кредитная карта с 10% кешбэком на онлайн-покупки сэкономит вам 99,767 ₸/мес. Начните экономить прямо сейчас!"
59.0,Динара,Премиальная карта,149684.3088,0.99,0.0,"Динара, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 4,427,461 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 149,684 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
60.0,Ермек,Кредитная карта,94176.26000000001,0.96,1.0,"Ермек, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 153,318 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 94,176 ₸/мес. Оформите карту онлайн за 3 минуты!"
